solver,num_sweeps,beta_min,beta_max,trotters,gamma,feasibility_rate,mean_approx_ratio,mean_time_s,num_runs
OpenJijSA,500,1e-09,1.0,1,0.0,0.24,1.6945512820512816,0.06875999999999999,25
OpenJijSA,500,1e-09,5.0,1,0.0,0.16,1.5282407407407406,0.06788,25
OpenJijSA,500,1e-09,10.0,1,0.0,0.36,1.4675925925925923,0.06612,25
OpenJijSA,500,1e-09,100.0,1,0.0,0.16,1.3745370370370367,0.06463999999999999,25
OpenJijSA,500,1e-09,1000.0,1,0.0,0.12,1.409259259259259,0.062400000000000004,25
OpenJijSA,500,1e-09,10000.0,1,0.0,0.2,1.447222222222222,0.05967999999999999,25
OpenJijSA,500,1e-09,100000.0,1,0.0,0.12,1.4608024691358021,0.05808,25
OpenJijSA,500,1e-09,1000000.0,1,0.0,0.12,1.6108024691358025,0.05707999999999999,25
OpenJijSA,500,1e-09,10000000.0,1,0.0,0.16,1.6344907407407405,0.05544,25
OpenJijSA,500,1e-09,100000000.0,1,0.0,0.16,1.5039351851851848,0.05452,25
OpenJijSA,500,1e-09,1000000000.0,1,0.0,0.12,1.5672839506172835,0.05404,25
OpenJijSA,500,1e-08,1e-08,1,0.0,0.0,,0.07207999999999999,25
OpenJijSA,500,1e-08,1e-07,1,0.0,0.0,,0.0722,25
OpenJijSA,500,1e-08,1e-06,1,0.0,0.0,,0.07232,25
OpenJijSA,500,1e-08,1e-05,1,0.0,0.0,,0.07307999999999999,25
OpenJijSA,500,1e-08,0.0001,1,0.0,0.0,,0.07276,25
OpenJijSA,500,1e-08,0.001,1,0.0,0.0,,0.07316,25
OpenJijSA,500,1e-08,0.01,1,0.0,0.0,,0.07360000000000001,25
OpenJijSA,500,1e-08,0.1,1,0.0,0.0,,0.07308,25
OpenJijSA,500,1e-08,1.0,1,0.0,0.16,1.6127314814814815,0.07048,25
OpenJijSA,500,1e-08,10.0,1,0.0,0.24,1.6418922127255458,0.0658,25
OpenJijSA,500,1e-08,100.0,1,0.0,0.32,1.5597489316239312,0.06387999999999999,25
OpenJijSA,500,1e-08,1000.0,1,0.0,0.16,1.551495726495726,0.060599999999999994,25
OpenJijSA,500,1e-08,10000.0,1,0.0,0.2,1.467037037037037,0.058839999999999996,25
OpenJijSA,500,1e-08,100000.0,1,0.0,0.12,1.5330246913580243,0.05768000000000001,25
OpenJijSA,500,1e-08,1000000.0,1,0.0,0.2,1.4733333333333332,0.0572,25
OpenJijSA,500,1e-08,10000000.0,1,0.0,0.16,1.4949074074074074,0.0544,25
OpenJijSA,500,1e-08,100000000.0,1,0.0,0.28,1.6301587301587297,0.053599999999999995,25
OpenJijSA,500,1e-08,1000000000.0,1,0.0,0.08,1.6740740740740738,0.05208,25
OpenJijSA,500,1e-07,1e-07,1,0.0,0.0,,0.07203999999999999,25
OpenJijSA,500,1e-07,1e-06,1,0.0,0.0,,0.07296,25
OpenJijSA,500,1e-07,1e-05,1,0.0,0.0,,0.0738,25
OpenJijSA,500,1e-07,0.0001,1,0.0,0.0,,0.07292,25
OpenJijSA,500,1e-07,0.001,1,0.0,0.0,,0.07416,25
OpenJijSA,500,1e-07,0.01,1,0.0,0.0,,0.07519999999999999,25
OpenJijSA,500,1e-07,0.1,1,0.0,0.0,,0.07432,25
OpenJijSA,500,1e-07,1.0,1,0.0,0.2,1.4705555555555554,0.06912,25
OpenJijSA,500,1e-07,10.0,1,0.0,0.28,1.5608465608465607,0.06672,25
OpenJijSA,500,1e-07,100.0,1,0.0,0.08,1.6018518518518514,0.06376,25
OpenJijSA,500,1e-07,1000.0,1,0.0,0.2,1.4964814814814813,0.06015999999999999,25
OpenJijSA,500,1e-07,10000.0,1,0.0,0.16,1.4652777777777777,0.058679999999999996,25
OpenJijSA,500,1e-07,100000.0,1,0.0,0.24,1.4890313390313386,0.0558,25
OpenJijSA,500,1e-07,1000000.0,1,0.0,0.12,1.6432098765432095,0.0552,25
OpenJijSA,500,1e-07,10000000.0,1,0.0,0.12,1.5413580246913579,0.053559999999999997,25
OpenJijSA,500,1e-07,100000000.0,1,0.0,0.12,1.5185185185185182,0.052360000000000004,25
OpenJijSA,500,1e-07,1000000000.0,1,0.0,0.2,1.5307407407407403,0.05192,25
OpenJijSA,500,1e-06,1e-06,1,0.0,0.0,,0.0722,25
OpenJijSA,500,1e-06,1e-05,1,0.0,0.0,,0.07251999999999999,25
OpenJijSA,500,1e-06,0.0001,1,0.0,0.0,,0.07271999999999999,25
